"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog1"|"Volts"|0.0|5.0|100,"Analog2"|"Volts"|0.0|5.0|100,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|200,"AccelY"|"G"|-3.0|3.0|200,"AccelZ"|"G"|-3.0|3.0|200,"Yaw"|"Deg/Sec"|-120|120|200,"Pitch"|"Deg/Sec"|-120|120|200,"Roll"|"Deg/Sec"|-120|120|200,"Gsum"|"G"|0.0|3.0|200,"RPM"|"rpm"|0|8000|25,"RPM2"|"rpm"|0|8000|25,"GPIO1"|""|0.0|1.0|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10
173,0,2.53,2.54,,-0.02,0.01,1.0,0,-0,-0,0.02,,,,,,,,,,
178,0,,,,-0.02,0.01,1.0,0,-0,-0,0.02,,,,,,,,,,
183,0,2.54,2.54,,-0.02,0.01,1.0,0,-0,-0,0.02,,,0,,,,,,,
188,0,,,,-0.02,0.01,1.0,0,-0,-0,0.02,,,,,,,,,,
193,0,2.54,2.53,,-0.02,0.01,1.0,0,-0,-0,0.02,,,,,,,,,,
198,0,,,,-0.02,0.01,1.0,0,-0,-0,0.02,,,,,,,,,,
203,0,2.58,2.54,,-0.02,0.01,1.0,0,-0,-0,0.02,0,0,0,,,,,,,
208,0,,,,-0.02,0.01,1.0,0,-0,-0,0.02,,,,,,,,,,
213,0,2.59,2.56,,-0.02,0.0,1.0,0,-0,-0,0.02,,,,,,,,,,
218,0,,,,-0.02,0.0,1.0,0,-0,-0,0.02,,,,,,,,,,
223,0,2.55,2.52,,-0.02,0.0,1.0,0,-0,-0,0.02,,,0,,,,,,,
228,0,,,,-0.02,0.0,1.0,0,-0,-0,0.02,,,,,,,,,,
233,0,2.57,2.53,,-0.02,0.0,1.0,0,-0,-0,0.02,,,,,,,,,,
238,0,,,,-0.02,0.0,1.0,0,-0,-0,0.02,,,,,,,,,,
243,0,2.55,2.52,,-0.02,0.01,1.0,0,-0,-0,0.02,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0
248,0,,,,-0.02,0.01,1.0,0,-0,-0,0.02,,,,,,,,,,
253,0,2.58,2.54,,-0.02,0.01,1.0,0,-0,-0,0.02,,,,,,,,,,
258,0,,,,-0.02,0.01,1.0,0,-0,-0,0.02,,,,,,,,,,
263,0,2.58,2.55,,-0.02,0.01,1.0,0,-0,-0,0.02,,,0,,,,,,,
268,0,,,,-0.02,0.01,1.0,0,-0,-0,0.02,,,,,,,,,,
273,0,2.55,2.51,,-0.02,0.01,1.0,0,-0,-0,0.02,,,,,,,,,,
278,0,,,,-0.02,0.01,1.0,0,-0,-0,0.02,,,,,,,,,,
283,0,2.54,2.52,,-0.02,0.01,1.0,0,-0,-0,0.02,0,0,0,,,,,,,
288,0,,,,-0.02,0.01,1.0,0,-0,-0,0.02,,,,,,,,,,
293,0,2.55,2.52,,-0.02,0.01,1.0,0,-0,-0,0.02,,,,,,,,,,
298,0,,,,-0.01,0.01,1.0,0,-0,-0,0.02,,,,,,,,,,
303,0,2.58,2.55,,-0.01,0.01,1.0,0,-0,-0,0.02,,,0,,,,,,,
308,0,,,,-0.01,0.01,1.0,0,-0,-0,0.02,,,,,,,,,,
313,0,2.58,2.55,,-0.01,0.01,1.0,0,-0,-0,0.02,,,,,,,,,,
318,0,,,,-0.01,0.01,1.0,0,-0,-0,0.02,,,,,,,,,,
323,0,2.59,2.55,,-0.01,0.01,1.0,0,-0,-0,0.02,0,0,0,,,,,,,
328,0,,,,-0.01,0.01,1.0,0,-0,-0,0.02,,,,,,,,,,
333,0,2.58,2.54,,-0.01,0.01,1.0,0,-0,-0,0.02,,,,,,,,,,
338,0,,,,-0.01,0.01,1.0,0,-0,-0,0.02,,,,,,,,,,
